#,Date,New Column,Own Goal #,Own Goal Scorer,Opponent,Minute,Score,Result,Competition,Venue,Stadium
111,2010-08-21,2010/2011,3,Richard Naylor,Millwall,15,3 - 1,🟢 Won,Championship,H,"Elland Road, Leeds"
110,2010-05-01,2009/2010,2,Richard Naylor,Charlton Athletic,88,1 - 0,🔴 Lost,League One,A,"The Valley, London"
109,2010-04-17,2009/2010,1,Richard Naylor,Gillingham,33,3 - 2,🔴 Lost,League One,A,"Priestfield Stadium, Gillingham"
108,2009-04-18,2008/2009,1,Sam Sodje,Tranmere Rovers,27,3 - 1,🟢 Won,League One,H,"Elland Road, Leeds"
107,2008-01-01,2007/2008,1,Andrew Hughes,Oldham Athletic,41,1 - 3,🔴 Lost,League One,H,"Elland Road, Leeds"
106,2006-12-30,2006/2007,1,Ugo Ehiogu,Stoke City,54,3 - 1,🔴 Lost,Championship,A,"Britannia Stadium, Stoke"
105,2006-09-23,2006/2007,1,Tony Warner,Birmingham City,13,3 - 2,🟢 Won,Championship,H,"Elland Road, Leeds"
104,2006-05-21,2005/2006,1,Neil Sullivan,Watford,57,0 - 3,🔴 Lost,Play-Off,N,"Millenium Stadium, Cardiff"
103,2006-04-18,2005/2006,1,Eirik Bakke,Sheffield United,10,1 - 1,🟠 Draw,Championship,A,"Bramall Lane, Sheffield"
102,2005-11-01,2005/2006,1,Paul Butler,Crewe Alexandra,8,1 - 0,🔴 Lost,Championship,A,"Alexandra Stadium, Crewe"
101,2005-09-28,2005/2006,2,Sean Gregan,Derby County,74,3 - 1,🟢 Won,Championship,H,"Elland Road, Leeds"
100,2005-09-10,2005/2006,1,Sean Gregan,Brighton & Hove Albion,83,3 - 3,🟠 Draw,Championship,H,"Elland Road, Leeds"
99,2004-12-04,2004/2005,3,Gary Kelly,Leicester City,78,0 - 2,🔴 Lost,Championship,H,"Elland Road, Leeds"
98,2004-10-23,2004/2005,1,Clarke Carlisle,Brighton & Hove Albion,58,1 - 0,🔴 Lost,Championship,A,"Withdean Stadium, Brighton"
97,2004-05-02,2003/2004,1,Ian Harte,Bolton Wanderers,55,4 - 1,🔴 Lost,Premier League,A,"Reebok Stadium, Bolton"
96,2003-12-28,2003/2004,1,Alan Smith,Wolves,18,3 - 1,🔴 Lost,Premier League,A,"Molineux Stadium, Wolverhampton"
95,2003-03-05,2002/2003,2,Lucas Radebe,Manchester United,20,2 - 1,🔴 Lost,Premier League,A,"Old Trafford, Manchester"
94,2003-01-28,2002/2003,1,Dominic Matteo,Chelsea,83,3 - 2,🔴 Lost,Premier League,A,"Stamford Bridge, London"
93,2002-02-03,2001/2002,2,Rio Ferdinand,Liverpool,16,0 - 4,🔴 Lost,Premier League,H,"Elland Road, Leeds"
92,2002-01-12,2001/2002,1,Michael Duberry,Newcastle United,44,3 - 1,🔴 Lost,Premier League,A,"St James' Park, Newcastle"
91,2001-05-19,2000/2001,1,Rio Ferdinand,Leicester City,32,3 - 1,🟢 Won,Premier League,H,"Elland Road, Leeds"
